fixture_id,requirement,status,implementation
S0-M01,C2C-INV-006,green,SW0-04
S0-M02,C2C-INV-004,green,SW0-04
S0-M03,C2C-INV-007,green,SW0-04
S0-M04,C2C-INV-009,green,SW0-05
S0-M05,C2C-INV-004|C2C-E005,green,SW0-05
S0-C01,C2C-INV-009,green,SW0-06
S0-C02,C2C-INV-005,green,SW0-04
S0-C03,C2C-INV-010,green,SW0-06
S0-C04,C2C-INV-011,green,SW0-06
S0-C05,C2C-INV-012,green,SW0-06
S0-X01,C2C-INV-019|C2C-ST-01,green,SW0-03
S0-X02,C2C-E007,green,SW0-03
S0-X03,C2C-INV-017,green,SW0-05
S0-X04,C2C-INV-018,green,SW0-03
S0-X05,C2C-INV-020,green,SW0-07
